uniandes_user_id,user_join_ts,country_cd,region_cd,profile_language_cd,browser_language_cd,reported_or_inferred_gender,employment_status,educational_attainment,student_status
96239cf810d4556d9591f35513eeb7b72919cd9c,2024-10-24 20:43:26,"US","TX","es-LA","en-US",,,"MASTERS_DEGREE",
e4d205cb9f98df5f7d6bd6b62c070b527d243f64,2025-03-07 00:36:08,"CO","CUN","es-LA","es-ES","female",,"HIGH_SCHOOL_DIPLOMA",
7b4c70240ef7913a3dec7e53792d19cd5c64e1f2,2012-02-21 20:07:01,"EC","P","en-US","es-US","male","EMPLOYED_FULL_TIME","BACHELOR_DEGREE",
e7c04556add910a7887324bdfe06cdda4abdae11,2021-01-25 06:39:22,"MX","NLE","es-LA","en-US","female","EMPLOYED_FULL_TIME","MASTERS_DEGREE",
aac94b4c5707bb4ea6ea273dfdf8206eaf6bdbd0,2019-08-27 00:06:14,"CO","DC","es-LA","es-41","female",,,
2c373b3bd9c9591fbbc5261aac2000fb829966b8,2024-05-14 02:10:09,"PE","LMA","es","es-41","male",,"MASTERS_DEGREE",
252882930ac1ffd6b0f11f31408e26174e778aed,2023-08-19 23:32:53,"CO","CAU","es","es-ES","male",,"LESS_THAN_HIGH_SCHOOL_DIPLOMA",
84e09c931629a19c8bc91c3fe1e06848356ae10d,2020-11-15 19:23:48,"CH","ZH","en","en-US","male",,"MASTERS_DEGREE",
9ca7d79fa3da514cc64ef16944604213a23dd7ed,2025-06-12 12:18:27,"PY","10",,"es-41","female",,,
1246fa3555c23ebddf146f23262817622f4d30f7,2021-02-04 13:07:26,"CO","DC","es-LA","en-CO","male",,,
0f6b176a92152e292f82f1054ddc5aa5edd6fb9f,2023-05-28 18:17:32,"US","CAL","es-LA","es-CO","male",,"ASSOCIATE_DEGREE",
2014aeb149166560a1e45980122646e9da4f3e59,2020-09-03 18:21:07,"CO","DC","en-US","es-CO","male",,"COLLEGE_NO_DEGREE",
f6c274f801077300db6184ae774f35f5d4aeb057,2025-07-31 18:33:24,"CO","DC","es-LA","es-41","male",,,
cd16fedce57288ee80f3aa8744c3e726a3faaf45,2025-09-18 16:22:22,"AR","B",,"es","male",,,
7fadc140ad2c04436b941472934ca34756a1f9cd,2019-12-11 10:13:15,"MX","AGU","en-US","en-GB","male",,"BACHELOR_DEGREE",
f678c764cc91eac4460c098550abe7d33869ca6a,2018-10-29 05:07:40,"US","NY","es-LA","es-ES","female",,,
1fcaa0b2725e38b03e9a66e86d6e7f7198a8e68b,2016-05-09 16:54:07,"EC","P","es-LA","en-US","male","EMPLOYED_PART_TIME","MASTERS_DEGREE",
0e4308cfb58aca6de9085f429fab6610f235f0a3,2025-07-26 02:57:55,"CO","ANT",,"es-41",,,,
85643798a89ae33f0290ed908f1081be7c84ee22,2020-07-12 20:03:28,"CO","CUN","en-US","es","male","EMPLOYED_FULL_TIME","BACHELOR_DEGREE",
d25877d4e3e35273417f011fc6d493b83ae39e11,2015-01-03 03:58:25,"CO","DC","es-LA","es-US","male",,,
f8e3fbdc6eba14987abad90fce6947194b5ebdbc,2022-04-18 20:54:35,"CO","VAC","es-LA","es-CO","male","UNEMPLOYED_LOOKING_FOR_WORK","ASSOCIATE_DEGREE",
5d9e28f7de13ccd6243a53e2f0c0b7e3d70c4d47,2012-02-20 10:27:41,"PE","CUS","en-US","en-US","male","SELF_EMPLOYED_FULL_TIME","BACHELOR_DEGREE",
ba538eebc0952be275e2ab645efebb6a32bb0c98,2025-04-26 04:59:48,"CO","ANT","es-LA","es-41","male",,"HIGH_SCHOOL_DIPLOMA",
93541147e58f5b80c68dfb079d00fd5908dc9487,2017-02-19 23:05:34,"AR","B","es-LA","es","female",,,
9a54efb495d518bd41fe5c91f4ae5445e023d0ff,2025-05-13 19:34:08,"CO","ANT","es-LA","es-ES","female",,,
47d1014ed36fd9849f9c80118a12e38d5c37fedd,2021-04-19 21:10:23,"CO","DC","es-LA","es-41","male",,"MASTERS_DEGREE",
bb2a89a20d6d55d254b4887635b5f008e218188b,2025-02-25 00:36:30,"CO","CUN","es-LA","es-41","female",,,
551e3a567fa168afa912a71378902e5f15f68bf9,2025-03-10 17:47:28,"CO","DC","es-LA","es-41","male",,"COLLEGE_NO_DEGREE",
b9fe35d062f0759598a5478415c342f0f8398af0,2014-03-28 15:41:42,"PA","8","en-US","en-US","male","EMPLOYED_FULL_TIME","COLLEGE_NO_DEGREE",
21c63c28ad45ff6fb257d30e9d2a4271c99da364,2022-02-07 20:20:38,"CO","DC","es-LA","es-ES","male",,"HIGH_SCHOOL_DIPLOMA",
900aa13f1b6af8c8e9a4c33c5fa10c8606619c1d,2021-08-12 02:45:47,"MX","JAL","es-LA","en-US","male",,"HIGH_SCHOOL_DIPLOMA",
4cd1290ad3f301fd0fa56902f00ac16160e74c6a,2019-07-08 19:49:50,"CO","HUI","es-LA","es","male",,,
df25fcd1867650d6ab56da2d9637289c9098b1dc,2020-09-19 18:27:36,"AR","B","es-LA","es-US","male",,"COLLEGE_NO_DEGREE",
5f43b48f002c758984673d79e87f90ee3035fd9a,2020-10-30 22:19:42,"CO","BOL","en-US","es","male","UNEMPLOYED_LOOKING_FOR_WORK","BACHELOR_DEGREE",
8d37fa0d5af5c3232cabacf925f0d6c8f7a50de7,2014-06-20 15:09:31,"CO","DC","en","es-ES","male",,"BACHELOR_DEGREE",
86a70995452dc4feece23bd9725a0a21c75ccdee,2016-10-21 16:39:08,"ES","AS","es-LA","es-ES","male","UNEMPLOYED_LOOKING_FOR_WORK","ASSOCIATE_DEGREE",
1bc9a0b413d998d2bb8701508d1f2dc5f157a048,2025-01-04 00:57:00,"CO","DC","es-LA","es-AR",,,,
a6e2f456a871d81e38eafd7d8fc87947c54d2e0a,2015-03-10 12:32:48,"CO","VAC",,"es-CO",,,,
93658be97cbfcc45ffe051306a735767d9b92323,2024-11-04 14:11:14,"CL","RM","es-LA","es","male",,,
9d320a7cb5eb8d0c766e37d70fa43eeadf771d48,2024-09-16 11:33:18,"CO","DC","es-LA","es-41","male",,"HIGH_SCHOOL_DIPLOMA",
c9be72d51c8718c848bd4ce87794c23852b969ef,2025-02-19 12:17:48,"ES","MD","es-LA","es",,,,
a5b25f686d8b18307d2834f390cfb27f80892fc9,2020-04-15 18:46:18,"CO","DC","es-LA","es-ES","female",,,
ef243158783c113817c071c743343ae42e8ecda0,2024-10-21 07:46:22,"MX","NLE","es-LA","es-MX",,,,
8af1ee216ee537849aadfa3f093cf9c57a352b85,2015-10-02 02:26:08,"CO","DC","es-LA","es-US","male",,,
7a30509a9c41862caeffa788943f518ea4f3d330,2024-05-01 20:25:16,"EC","G","es-LA","es-ES",,,,
5148af38fd4659fb6527a089b4f845aa5ca96a2d,2019-01-24 14:26:18,"GT","01","es-LA","en","female","EMPLOYED_FULL_TIME","MASTERS_DEGREE",
54251786c9c05ddc73c733fb84b03361cc8e5ed4,2024-02-26 10:05:18,"ES","CT","es-LA","es-ES",,,"COLLEGE_NO_DEGREE",
f64eb31c2a43eb27d6e3d1ed37534a2d19199d4a,2022-10-16 14:32:32,"AR","R","en","es-41","male",,,
ddd1a6b4a221334234f1b870a57917cf440c1c72,2023-04-13 16:52:39,"FR","PAC","en-US","fr",,,"COLLEGE_NO_DEGREE",
12e972362ad5f64cd78e5c0016a213f9d37ff87b,2020-05-27 15:20:26,"CO","DC","es-LA","es-ES",,,,
b87bc2e9a0b0c0bbf84185935091540d0036580d,2019-06-12 11:12:08,"CO","DC","es-LA","es-ES","female",,,
801286f97d1e2ea7d6a755f4dcc217bd3d7c23c6,2025-07-09 22:39:23,"AR","B",,"es-ES","female",,,
036409bbbae5b8ab767acb625b75863166db4e1c,2020-05-14 15:22:08,"CO","DC","es-LA","es-CO","male","UNEMPLOYED_LOOKING_FOR_WORK","ASSOCIATE_DEGREE",
